OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1159,2020-006P,2025-11-24T10:35:52.752192,15.53436961,.0003558,53.0550,31.9069,11.4929,348.6161,0,U,45057,999,32070,.1494E-2,.97044E-3,0
STARLINK-1166,2020-006S,2025-11-24T09:35:17.111040,15.06399210,.0001328,53.0550,39.2868,94.1059,266.0081,0,U,45060,999,32059,.34279E-3,.4828E-4,0
STARLINK-1169,2020-006T,2025-11-24T11:21:26.251200,15.06400554,.0001438,53.0543,38.9574,121.1802,238.9328,0,U,45061,999,32060,.29584E-3,.4128E-4,0
STARLINK-1171,2020-006U,2025-11-24T09:16:52.404960,15.36651333,.0007384,53.0549,32.2700,356.7324,3.3628,0,U,45062,999,32069,.16786E-2,.6111E-3,0
STARLINK-1133,2020-006W,2025-11-24T11:18:47.441088,15.06399025,.000145,53.0556,18.9619,99.5474,260.5679,0,U,45064,999,32088,.18937E-3,.254E-4,0
STARLINK-1167,2020-006AD,2025-11-24T10:20:23.680032,15.06394393,.0001395,53.0551,19.1458,82.2865,277.8282,0,U,45071,999,32087,.11465E-3,.1426E-4,0
STARLINK-1168,2020-006AE,2025-11-24T10:25:42.921120,15.06413265,.0001496,53.0550,19.1277,69.6107,290.5043,0,U,45072,999,32087,.68047E-3,.9872E-4,0
STARLINK-1172,2020-006AG,2025-11-24T10:41:37.940064,15.06397393,.0001563,53.0562,19.0813,107.5097,252.6062,0,U,45074,999,32087,-.28986E-4,-.713E-5,0
STARLINK-1153,2020-006AN,2025-11-24T10:09:46.560384,15.06391040,.0001202,53.0549,19.1765,100.9545,259.1579,0,U,45080,999,32087,.51854E-4,.491E-5,0
STARLINK-1151,2020-006AP,2025-11-24T09:48:35.246592,15.06394508,.0001374,53.0561,19.3232,88.4487,271.6659,0,U,45081,999,32087,.63774E-3,.9229E-4,0
STARLINK-1190,2020-006AR,2025-11-24T13:04:12.830016,16.24728774,.0002816,53.0296,312.6872,271.1291,88.9427,0,U,45083,999,32181,.85307E-3,.2485487E-1,.11943E-4
STARLINK-1185,2020-006AV,2025-11-24T07:38:30.623136,15.06396058,.0001032,53.0547,359.6466,86.7510,273.3597,0,U,45087,999,32114,.23562E-4,.7E-6,0
STARLINK-1183,2020-006AW,2025-11-24T11:21:26.466336,15.06398698,.0001515,53.0559,358.9528,96.0165,264.0996,0,U,45088,999,32116,.10503E-4,-.125E-5,0
STARLINK-1142,2020-006BB,2025-11-24T14:00:01.999008,15.72860239,.0008423,53.0301,281.3260,97.6997,314.9682,0,U,45093,999,595,.19969E-2,.285667E-2,0
STARLINK-1152,2020-006BE,2025-11-24T07:31:03.726048,15.26278373,.0003934,53.0454,338.7285,296.5319,63.5275,0,U,45096,999,32143,.25005E-2,.65948E-3,0
STARLINK-1184,2020-006BG,2025-11-24T08:31:35.962176,15.06396595,.0001463,53.0554,359.4853,75.2176,284.8975,0,U,45098,999,32114,.47139E-3,.6746E-4,0
STARLINK-1193,2020-006BJ,2025-11-24T08:26:17.078784,15.06401454,.0001512,53.0553,359.5000,87.6390,272.4772,0,U,45100,999,32114,.15556E-3,.2036E-4,0
STARLINK-1143,2020-012B,2025-11-23T17:13:55.148160,15.43770836,.00073203,53.0521,120.1680,133.1173,227.0446,0,U,45179,999,31946,.2033461E-2,.94229E-3,0
STARLINK-1202,2020-012F,2025-11-23T18:01:07.514688,15.06394397,.00015033,53.0533,162.2000,86.3064,273.8097,0,U,45183,999,31887,-.7936367E-4,-.1463E-4,0
STARLINK-1216,2020-012H,2025-11-23T21:01:35.455584,15.06399155,.00015507,53.0545,161.6342,84.4356,275.6810,0,U,45185,999,31883,.90615702E-4,.1068E-4,0
STARLINK-1225,2020-012K,2025-11-23T23:03:40.194432,15.06410193,.00012708,53.0520,161.2528,97.3512,262.7622,0,U,45187,999,31889,.16402092E-3,.2163E-4,0
STARLINK-1230,2020-012M,2025-11-23T23:08:58.594848,15.06402063,.00015089,53.0542,161.2391,85.8856,274.2305,0,U,45189,999,31612,-.83494081E-4,-.1525E-4,0
STARLINK-1234,2020-012N,2025-11-24T14:00:01.999008,15.39939916,.000233,53.0519,110.1382,239.2868,79.1543,0,U,45190,999,582,.20473E-2,.83274E-3,0
STARLINK-1269,2020-012V,2025-11-23T21:49:21.116352,15.06397578,.00012762,53.0525,161.4894,85.3815,274.7319,0,U,45197,999,31886,-.49436548E-4,-.1018E-4,0
STARLINK-1154,2020-012W,2025-11-23T16:49:28.481376,15.06399357,.00009868,53.0525,142.4202,52.2748,307.8330,0,U,45198,999,31908,.11013885E-3,.136E-4,0
STARLINK-1199,2020-012Z,2025-11-24T10:36:20.198016,15.06402833,.0001557,53.0545,139.0957,108.1305,251.9853,0,U,45201,999,31925,.66913E-4,.715E-5,0
STARLINK-1209,2020-012AE,2025-11-24T10:05:17.217888,15.33373964,.0001849,53.0527,112.5588,253.6951,106.3846,0,U,45206,999,31867,.30207E-2,.99755E-3,0
STARLINK-1210,2020-012AF,2025-11-24T08:13:05.563200,15.62631722,.0006208,53.0235,70.2827,131.2565,228.8983,0,U,45207,999,32021,.66709E-3,.6076E-3,0
STARLINK-1231,2020-012AL,2025-11-23T18:10:45.157440,15.13732561,.00077582,53.0488,139.4170,119.6156,240.5610,0,U,45212,999,31914,.14607142E-2,.2644E-3,0
STARLINK-1271,2020-012AR,2025-11-23T18:19:41.398176,15.06397769,.00014358,53.0536,142.1372,100.2768,259.8383,0,U,45217,999,31915,-.82903014E-4,-.1516E-4,0
STARLINK-1191,2020-012AW,2025-11-23T16:57:26.215488,15.06397059,.00019895,53.0544,122.3947,106.6735,253.4472,0,U,45222,999,31942,-.29982065E-4,-.728E-5,0
STARLINK-1212,2020-012AX,2025-11-24T10:55:01.371072,15.06395482,.0001394,53.0541,119.6910,93.6681,266.4468,0,U,45223,999,31953,.16532E-3,.2182E-4,0
STARLINK-1215,2020-012AZ,2025-11-24T09:51:12.814272,15.06400506,.0001501,53.0536,119.2337,92.9485,267.1676,0,U,45225,999,31948,.17087E-3,.2265E-4,0
STARLINK-1221,2020-012BB,2025-11-24T10:34:21.278784,15.37725469,.0004474,53.0683,46.7662,47.2904,312.8475,0,U,45227,999,32049,.43875E-3,.16143E-3,0
STARLINK-1222,2020-012BC,2025-11-24T10:38:59.331264,15.06394302,.0001242,53.0545,119.0843,92.8792,267.2339,0,U,45228,999,31942,.127E-3,.161E-4,0
STARLINK-1226,2020-012BD,2025-11-23T17:50:30.033888,15.06407759,.00013322,53.0549,122.2274,97.4876,262.6264,0,U,45229,999,31932,.69185049E-4,.749E-5,0
STARLINK-1227,2020-012BE,2025-11-23T17:45:13.654368,15.06389250,.00016571,53.0537,122.2445,116.0873,244.0286,0,U,45230,999,31944,.46890749E-3,.6708E-4,0
STARLINK-1246,2020-012BK,2025-11-23T19:41:58.495488,15.06399440,.00014142,53.0535,161.8801,105.0982,255.0163,0,U,45235,999,31890,.38356183E-4,.29E-5,0
STARLINK-1270,2020-012BM,2025-11-24T10:07:06.809376,15.06401423,.000138,53.0532,119.1824,110.4063,249.7074,0,U,45237,999,31953,-.61389E-4,-.1196E-4,0
STARLINK-1279,2020-019A,2025-11-24T09:29:07.046016,15.38000442,.0008281,53.0508,241.7304,91.2342,268.9609,0,U,45360,999,31437,.1544E-2,.58696E-3,0
STARLINK-1301,2020-019B,2025-11-24T09:12:46.171872,15.40762912,.0007684,53.0517,251.0768,85.6385,274.5497,0,U,45361,999,31425,.16215E-2,.67607E-3,0
STARLINK-1306,2020-019C,2025-11-24T14:00:01.999008,15.79141438,.0006034,53.0416,234.1205,64.2945,255.5093,0,U,45362,999,603,.12243E-2,.228828E-2,0
STARLINK-1262,2020-019G,2025-11-24T06:24:09.722880,15.06433461,.000172,53.0571,279.8746,83.2200,276.8985,0,U,45366,999,31384,.2708E-3,.3758E-4,0
STARLINK-1273,2020-019H,2025-11-24T03:44:58.578720,15.06408476,.00017295,53.0545,280.3781,106.8364,253.2815,0,U,45367,999,31382,.23384632E-3,.3204E-4,0
STARLINK-1276,2020-019J,2025-11-24T06:13:35.431104,15.06398992,.0001604,53.0545,279.9124,96.9173,263.1998,0,U,45368,999,31384,.18694E-3,.2504E-4,0
STARLINK-1277,2020-019K,2025-11-24T07:38:37.745088,15.06407139,.0001451,53.0547,280.2728,94.1035,266.0120,0,U,45369,999,31384,.27134E-3,.3763E-4,0
STARLINK-1281,2020-019L,2025-11-24T05:57:40.133088,15.06402128,.0001796,53.0554,279.9669,110.1938,249.9244,0,U,45370,999,31384,.14444E-3,.1871E-4,0
STARLINK-1300,2020-019Q,2025-11-24T03:18:27.063072,15.06400518,.00022575,53.0543,280.4586,92.1428,267.9819,0,U,45374,999,31382,.29477895E-3,.4112E-4,0
STARLINK-1302,2020-019R,2025-11-24T06:50:44.935584,15.06406682,.0001881,53.0553,279.7963,90.0300,270.0905,0,U,45375,999,31384,.65526E-3,.9494E-4,0
STARLINK-1304,2020-019S,2025-11-24T05:41:45.360384,15.06394474,.0001451,53.0550,280.0128,85.5440,274.5715,0,U,45376,999,31383,.46497E-5,-.212E-5,0
STARLINK-1305,2020-019T,2025-11-24T02:16:51.855168,15.34756669,.00072146,53.0538,273.9544,76.5353,283.6452,0,U,45377,999,31391,.29084905E-2,.100421E-2,0
STARLINK-1319,2020-019V,2025-11-24T05:45:46.717920,15.39460684,.0005612,53.0544,274.9181,92.2572,267.9074,0,U,45379,999,31391,.28529E-2,.114897E-2,0
STARLINK-1266,2020-019Z,2025-11-24T04:35:24.959040,15.06429737,.0001722,53.0539,260.2230,81.6333,278.4851,0,U,45383,999,31410,.12129222E-2,.17846E-3,0
STARLINK-1267,2020-019AA,2025-11-24T05:49:51.000096,15.06365171,.0001734,53.0549,260.6453,109.9861,250.1315,0,U,45384,999,31410,-.2843E-3,-.451E-4,0
STARLINK-1272,2020-019AC,2025-11-24T07:35:14.146080,15.37702371,.000788,53.0534,252.6308,90.6966,269.4939,0,U,45386,999,31422,.16832E-2,.63435E-3,0
STARLINK-1274,2020-019AD,2025-11-24T03:55:28.566912,15.31704878,.00044526,53.0349,241.5517,45.7422,314.3943,0,U,45387,999,31436,.14059218E-2,.43537E-3,0
STARLINK-1280,2020-019AE,2025-11-24T14:00:01.999008,15.43989025,.0008987,53.0536,269.8778,79.7490,48.4737,0,U,45388,999,592,.21635E-2,.101166E-2,0
STARLINK-1283,2020-019AF,2025-11-24T05:06:36.993024,15.33645278,.00091175,53.0519,252.3265,87.0133,273.1911,0,U,45389,999,31422,.1618852E-2,.53475E-3,0
STARLINK-1284,2020-019AG,2025-11-24T04:40:43.426848,15.06386506,.00013601,53.0551,260.1994,85.3942,274.7202,0,U,45390,999,31410,.42367415E-3,.6032E-4,0
STARLINK-1297,2020-019AM,2025-11-24T02:22:42.607200,15.06400086,.00016549,53.0551,260.6348,96.8500,263.2677,0,U,45395,999,31327,.65806918E-3,.9534E-4,0
STARLINK-1307,2020-019AP,2025-11-24T05:23:10.447008,15.06437762,.00014953,53.0546,260.0687,82.4116,277.7043,0,U,45397,999,31393,.95351114E-3,.13964E-3,0
STARLINK-1255,2020-019AR,2025-11-24T00:36:54.020736,15.33547939,.0006754,53.0482,244.2763,93.3644,266.8130,0,U,45399,999,31412,.1547182E-2,.50888E-3,0
STARLINK-1260,2020-019AW,2025-11-24T03:48:56.058624,15.06432625,.00016795,53.0544,250.3598,69.3974,290.7195,0,U,45404,999,31395,.12943584E-2,.19067E-3,0
STARLINK-1263,2020-019AX,2025-11-24T01:52:11.379072,15.06404386,.00017464,53.0545,250.7308,95.4283,264.6905,0,U,45405,999,31394,.22589489E-3,.3085E-4,0
STARLINK-1265,2020-019AY,2025-11-24T05:13:53.910912,15.06392955,.00016179,53.0541,250.1019,91.5465,268.5710,0,U,45406,999,31396,.34158023E-3,.4809E-4,0
STARLINK-1278,2020-019BA,2025-11-24T06:04:04.836864,15.36852228,.0007959,53.0544,273.0072,72.6781,287.5091,0,U,45408,999,31365,.27527E-2,.101673E-2,0
STARLINK-1296,2020-019BE,2025-11-24T03:43:39.260064,15.06413128,.00015126,53.0547,250.3841,82.7855,277.3306,0,U,45412,999,31395,.12233817E-2,.17994E-3,0
STARLINK-1298,2020-019BF,2025-11-24T14:00:01.999008,15.56489125,.0008779,53.0449,216.3220,48.9939,120.2262,0,U,45413,999,592,.18698E-2,.136878E-2,0
STARLINK-1309,2020-019BG,2025-11-24T04:04:54.076512,15.06412725,.00011555,53.0543,250.3154,88.0177,272.0944,0,U,45414,999,31394,.64478997E-3,.9339E-4,0
STARLINK-1316,2020-019BH,2025-11-24T01:30:57.908736,15.06408788,.00017595,53.0565,250.7942,74.9754,285.1430,0,U,45415,999,31396,-.85771666E-4,-.1559E-4,0
STARLINK-1318,2020-019BJ,2025-11-24T02:34:12.484416,15.63605764,.00056938,53.0480,208.9015,115.8884,244.2717,0,U,45416,999,31454,.67287236E-3,.63703E-3,0
STARLINK-1286,2020-019BK,2025-11-24T06:09:30.089664,15.38691002,.0004865,53.0541,273.1393,77.0330,283.1216,0,U,45417,999,31392,.11079E-2,.42849E-3,0
STARLINK-1308,2020-019BM,2025-11-24T02:20:03.124032,15.06394519,.0001332,53.0549,280.6408,89.2148,270.8994,0,U,45419,999,31355,.4274617E-4,.355E-5,0
