OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-35846,2025-254V,2025-11-24T12:00:02.000160,15.74182152,.0001067,53.1585,5.4175,84.6735,137.0691,0,U,66367,999,394,-.10532E-3,-.16019E-3,0
STARLINK-34861,2025-254W,2025-11-24T09:31:21.065376,15.74256268,.0001234,53.1580,5.9191,90.9340,269.1821,0,U,66368,999,279,.14843E-2,.223259E-2,0
STARLINK-35795,2025-254X,2025-11-24T12:00:02.000160,15.74146866,.0001479,53.1585,5.4127,67.5765,156.0925,0,U,66369,999,394,.37811E-3,.55007E-3,0
STARLINK-35824,2025-254Y,2025-11-24T12:00:02.000160,15.74209700,.0001295,53.1584,5.4049,85.6786,141.8405,0,U,66370,999,396,-.70612E-3,-.102884E-2,0
STARLINK-35804,2025-254Z,2025-11-24T09:29:53.138688,15.74261186,.0000904,53.1583,5.9128,104.9744,255.1376,0,U,66371,999,279,.13157E-2,.197249E-2,0
STARLINK-35821,2025-254AA,2025-11-24T09:30:22.448160,15.74266991,.0000927,53.1582,5.9160,99.4025,260.7099,0,U,66372,999,279,.14488E-2,.217867E-2,0
STARLINK-35809,2025-254AB,2025-11-24T09:29:24.238752,15.74269303,.0001274,53.1580,5.9100,67.0323,293.0831,0,U,66373,999,279,.16809E-2,.253986E-2,0
STARLINK-35831,2025-254AC,2025-11-24T09:28:54.839424,15.74274111,.0000922,53.1582,5.9077,78.1970,281.9153,0,U,66374,999,279,.16884E-2,.255213E-2,0
STARLINK-35826,2025-254AD,2025-11-24T09:28:25.619808,15.74230149,.0001098,53.1584,5.9058,102.8129,257.3014,0,U,66375,999,279,.76328E-3,.112864E-2,0
SHIYAN-32 01,2025-255A,2025-11-24T16:10:39.056160,15.41872617,.0013183,52.9971,263.8927,345.7146,14.3483,0,U,66376,999,256,.49044E-3,.20843E-3,0
CZ-11 DEB,2025-255B,2025-11-24T09:49:09.067008,15.42740888,.0014167,52.9973,265.0877,342.6861,17.3658,0,U,66377,999,238,.85129E-3,.37674E-3,0
SHIYAN-32 02,2025-255C,2025-11-24T14:24:59.431104,15.43077973,.0013466,52.9987,264.1481,347.4947,12.5721,0,U,66378,999,241,.98686E-3,.44266E-3,0
SHIYAN-32 03,2025-255D,2025-11-24T12:58:44.032224,15.42218155,.0015178,52.9976,264.4861,346.2092,13.8495,0,U,66379,999,242,.49926E-3,.21499E-3,0
STARLINK-35139,2025-257A,2025-11-24T12:00:02.000160,15.70460255,.0001229,53.1596,351.4428,69.9618,37.5173,0,U,66380,999,350,-.17331E-1,-.1921318E-1,0
STARLINK-35158,2025-257B,2025-11-24T12:00:02.000160,15.70457714,.0001282,53.1593,351.4380,66.7422,42.6524,0,U,66381,999,356,-.17283E-1,-.1916413E-1,0
STARLINK-35639,2025-257C,2025-11-24T12:00:02.000160,15.70462201,.0001207,53.1595,351.4331,71.8891,39.4248,0,U,66382,999,356,-.17374E-1,-.192563E-1,0
STARLINK-35690,2025-257D,2025-11-24T12:00:02.000160,15.70375873,.0001343,53.1598,351.4247,69.7217,45.4658,0,U,66383,999,356,-.16296E-1,-.1779328E-1,0
STARLINK-35662,2025-257E,2025-11-24T12:00:02.000160,15.70446654,.0001441,53.1597,351.4222,65.9995,51.0664,0,U,66384,999,356,-.17135E-1,-.190122E-1,0
STARLINK-35659,2025-257F,2025-11-24T12:00:02.000160,15.70454571,.0001435,53.1596,351.4300,70.8361,42.3959,0,U,66385,999,356,-.17268E-1,-.1914875E-1,0
STARLINK-35651,2025-257G,2025-11-24T12:00:02.000160,15.70401878,.0001039,53.1598,351.4176,73.8449,45.1798,0,U,66386,999,356,-.16767E-1,-.1825569E-1,0
STARLINK-35661,2025-257H,2025-11-24T12:00:02.000160,15.70461240,.0001404,53.1596,351.4137,78.5861,42.3102,0,U,66387,999,356,-.17343E-1,-.1922721E-1,0
STARLINK-35647,2025-257J,2025-11-24T12:00:02.000160,15.70459308,.0001252,53.1594,351.4097,72.8292,49.9853,0,U,66388,999,356,-.17321E-1,-.1920226E-1,0
STARLINK-35694,2025-257K,2025-11-24T12:00:02.000160,15.70458720,.00013,53.1595,351.4051,76.1052,48.6221,0,U,66389,999,356,-.17267E-1,-.1914968E-1,0
STARLINK-35665,2025-257L,2025-11-24T12:00:02.000160,15.70407869,.0001512,53.1596,351.3339,63.4526,95.8182,0,U,66390,999,366,-.16822E-1,-.1831563E-1,0
STARLINK-35656,2025-257M,2025-11-24T12:00:02.000160,15.68686320,.0001171,53.1583,351.0132,77.8716,236.5344,0,U,66391,999,366,-.2077E-1,-.2110171E-1,0
STARLINK-35671,2025-257N,2025-11-24T12:00:02.000160,15.70407531,.0001455,53.1593,351.3973,76.2397,52.3660,0,U,66392,999,356,-.16828E-1,-.1832072E-1,0
STARLINK-35652,2025-257P,2025-11-24T12:00:02.000160,15.70442485,.0001403,53.1598,351.4020,64.0691,62.5876,0,U,66393,999,356,-.17134E-1,-.1900726E-1,0
STARLINK-35672,2025-257Q,2025-11-24T12:00:02.000160,15.70460238,.0001306,53.1594,351.3935,68.0024,62.4813,0,U,66394,999,356,-.1736E-1,-.192421E-1,0
STARLINK-35681,2025-257R,2025-11-24T12:00:02.000160,15.70455954,.000136,53.1597,351.3901,69.6238,62.7755,0,U,66395,999,340,-.17273E-1,-.1915377E-1,0
