x,y,z,t
4323615.519626,-4340955.507576,-3537296.309458,-3.187000
3996298.162151,-4650250.439249,-3529919.831916,56.812000
3652798.676456,-4940715.004353,-3508212.015301,116.812000
3294510.218189,-5211175.984945,-3472263.110302,176.812000
2922885.247510,-5460541.234351,-3422220.970158,236.812000
2539429.672162,-5687804.033356,-3358290.433637,296.811000
2145696.772942,-5892047.102306,-3280732.480542,356.811000
1743280.940167,-6072446.247727,-3189863.161574,416.810000
1333811.253770,-6228273.627966,-3086052.307542,476.810000
918944.939535,-6358900.629681,-2969722.025531,536.809000
500360.730202,-6463800.352807,-2841344.990871,596.809000
79752.154451,-6542549.704101,-2701442.543388,656.808000
-341179.228652,-6594831.097882,-2550582.595072,716.808000
-760730.634547,-6620433.757981,-2389377.354769,776.807000
-1177204.880748,-6619254.609782,-2218480.874928,836.806000
-1588917.215581,-6591298.747751,-2038586.426239,896.805000
-1994202.120094,-6536679.464124,-1850423.708122,956.804000
-2391420.049421,-6455617.828547,-1654755.905880,1016.803000
-2778964.076887,-6348441.815668,-1452376.607901,1076.802000
-3155266.404709,-6215584.985595,-1244106.597904,1136.801000
-3518804.708965,-6057584.728812,-1030790.537496,1196.800000
-3868108.291957,-5875080.090556,-813293.553291,1256.799000
-4201764.019959,-5668809.190775,-592497.741998,1316.798000
-4518422.027599,-5439606.251827,-369298.605068,1376.797000
-4816801.172041,-5188398.246522,-144601.425333,1436.796000
-5095694.219975,-4916201.171559,80682.403709,1496.795000
-5353972.735056,-4624115.959398,305639.075110,1556.794000
-5590591.659378,-4313324.035839,529356.084223,1616.793000
-5804593.552176,-3985082.539816,750925.939437,1676.793000
-5995112.465410,-3640719.229333,969449.849040,1736.792000
-6161377.441076,-3281627.094736,1184041.369644,1796.790000
-6302715.612454,-2909258.710324,1393829.997348,1856.790000
-6418554.901258,-2525120.351317,1597964.688747,1916.789000
-6508426.303344,-2130765.904103,1795617.298615,1976.789000
-6571965.758959,-1727790.594825,1985985.922997,2036.789000
-6608915.603569,-1317824.559952,2168298.136220,2096.788000
-6619125.595358,-902526.281489,2341814.110039,2156.787000
-6602553.515382,-483575.910035,2505829.602411,2216.786000
-6559265.336936,-62668.500330,2659678.803084,2276.786000
-6489434.962158,358492.814310,2802737.023404,2336.784000
-6393343.526099,778203.680805,2934423.218779,2396.783000
-6271378.270955,1194765.389892,3054202.333622,2456.783000
-6124030.995375,1606491.716078,3161587.460132,2516.782000
-5951896.085519,2011715.706290,3256141.803504,2576.781000
-5755668.135893,2408796.390117,3337480.446850,2636.780000
-5536139.169330,2796125.384950,3405271.909447,2696.779000
-5294195.467307,3172133.369340,3459239.492152,2756.778000
-5030814.024147,3535296.398141,3499162.404375,2816.777000
-4747058.641474,3884142.033930,3524876.668099,2876.777000
-4444075.681712,4217255.271226,3536275.796142,2936.776000
-4123089.500742,4533284.233075,3533311.243622,2996.775000
-3785397.579384,4830945.622864,3515992.633081,3056.774000
-3432365.371287,5109029.916763,3484387.754213,3116.773000
-3065420.881924,5366406.282768,3438622.338671,3176.773000
-2686048.991076,5602027.210600,3378879.609190,3236.772000
-2295785.531019,5814932.833097,3305399.601020,3296.771000
-1896211.135258,6004254.915691,3218478.253331,3356.771000
-1488944.878000,6169220.487951,3118466.269369,3416.770000
-1075637.731088,6309155.091580,3005767.746816,3476.770000
-657965.870799,6423485.623304,2880838.583396,3536.770000
-237623.869777,6511742.757857,2744184.666127,3596.770000
