x,y,z,t
-1303410.303950,1286070.315999,6833531.721085,-2.580000
-1619036.366085,965081.787470,6819343.742248,57.418000
-1928136.117847,640202.925224,6777593.653975,117.417000
-2229464.593875,312743.775280,6708454.034238,177.415000
-2521808.373639,-15975.592729,6612207.702950,237.414000
-2803990.418607,-344630.365464,6489246.567360,297.413000
-3074874.767188,-671896.285750,6340070.040313,357.411000
-3333371.069527,-996454.950037,6165283.038525,417.410000
-3578438.947258,-1316999.082726,5965593.570977,477.409000
-3809092.165847,-1632237.769377,5741809.927847,537.408000
-4024402.608136,-1940901.633266,5494837.478549,597.406000
-4223504.036516,-2241747.940680,5225675.084789,657.405000
-4405595.628161,-2533565.619119,4935411.132751,717.404000
-4569945.264318,-2815180.169653,4625219.189313,777.402000
-4715892.552350,-3085458.451198,4296353.290895,837.401000
-4842851.559189,-3343313.311910,3950142.879366,897.399000
-4950313.237446,-3587708.042181,3587987.405670,957.397000
-5037847.529768,-3817660.625113,3211350.626655,1017.396000
-5105105.141705,-4032247.763166,2821754.622786,1077.394000
-5151818.976833,-4230608.662612,2420773.564110,1137.394000
-5177805.229339,-4411948.559499,2010027.250174,1197.391000
-5182964.128676,-4575541.971326,1591174.448306,1257.390000
-5167280.329528,-4720735.657933,1165906.055372,1317.389000
-5130822.939426,-4846951.274153,735938.111217,1377.388000
-5073745.177455,-4953687.696775,303004.697003,1437.388000
-4996283.660934,-5040523.010150,-131149.243201,1497.387000
-4898757.322348,-5107116.138465,-564775.115678,1557.385000
-4781565.964867,-5153208.117641,-996127.882532,1617.385000
-4645188.469974,-5178623.004751,-1423473.219230,1677.383000
-4490180.673964,-5183268.426765,-1845094.588431,1737.382000
-4317172.930961,-5167135.772532,-2259300.199316,1797.380000
-4126867.379347,-5130300.032542,-2664429.825125,1857.379000
-3920034.927151,-5072919.290931,-3058861.453289,1917.378000
-3697511.971110,-4995233.874274,-3441017.741948,1977.377000
-3460196.865053,-4897565.163397,-3809372.255424,2037.376000
-3209046.155054,-4780314.077026,-4162455.450625,2097.375000
-2945070.601724,-4643959.239950,-4498860.387669,2157.373000
-2669331.012388,-4489054.851887,-4817248.141607,2217.373000
-2382933.907020,-4316228.275541,-5116352.897572,2277.371000
-2087027.041361,-4126177.362874,-5394986.717312,2337.371000
-1782794.808852,-3919667.537325,-5652043.969861,2397.370000
-1471453.540539,-3697528.647389,-5886505.421715,2457.369000
-1154246.719969,-3460651.604704,-6097441.982392,2517.368000
-832440.128839,-3209984.818547,-6284018.100293,2577.367000
-507316.938851,-2946530.438800,-6445494.802512,2637.367000
-180172.765636,-2671340.420863,-6581232.371888,2697.365000
147689.299069,-2385512.427896,-6690692.655651,2757.363000
474963.661004,-2090185.587115,-6773441.002396,2817.362000
800347.187812,-1786536.117105,-6829147.827039,2877.361000
1122544.151067,-1475772.841829,-6857589.805856,2937.360000
1440271.134455,-1159132.604734,-6858650.704796,2997.360000
1752261.897994,-837875.593800,-6832321.843848,3057.355000
2057272.188576,-513280.586345,-6778702.198469,3117.355000
2354084.486613,-186640.121551,-6697998.136853,3177.354000
2641512.677358,140744.390883,-6590522.789804,3237.352000
2918406.634040,467567.616097,-6456695.048849,3297.352000
3183656.698789,792525.281591,-6297038.188086,3357.351000
3436198.046451,1114319.193153,-6112178.105943,3417.351000
3675014.915784,1431662.263842,-5902841.184165,3477.350000
3899144.692315,1743283.539524,-5669851.762691,3537.350000
4107681.826552,2047933.203563,-5414129.230397,3597.349000
