x,y,z,t,firing,detected_by_GS
8959396.289214,-1166721.086372,-9953695.980674,-6.076000,0,0
8927369.175696,-848240.162600,-10015060.937083,53.921000,0,0
8890072.710535,-529258.571561,-10070510.225708,113.920000,0,0
8847529.394497,-209964.620202,-10120011.644574,173.920000,0,0
8799764.771595,109453.236287,-10163536.454247,233.919000,0,0
8746807.413636,428806.500420,-10201059.392744,293.918000,0,0
8688688.903181,747906.738293,-10232558.688591,353.916000,0,0
8625443.815021,1066565.685370,-10258016.072144,413.915000,0,0
8557109.696004,1384595.352110,-10277416.784952,473.914000,0,0
8483727.043410,1701808.129410,-10290749.587393,533.913000,0,0
8405339.281760,2018016.893795,-10298006.764427,593.911000,0,0
8321992.738111,2333035.112338,-10299184.129507,653.908000,0,0
8233736.615906,2646676.947250,-10294281.026743,713.907000,0,0
8140622.967247,2958757.360083,-10283300.331100,773.907000,0,0
8042706.663760,3269092.215539,-10266248.446873,833.906000,0,0
7940045.365964,3577498.384795,-10243135.304269,893.906000,0,0
7832699.491177,3883793.848332,-10213974.354163,953.903000,0,0
7720732.180046,4187797.798234,-10178782.561091,1013.903000,0,0
7604209.261559,4489330.739851,-10137580.394299,1073.902000,0,0
7483199.216716,4788214.592870,-10090391.817064,1133.902000,0,0
7357773.140770,5084272.791671,-10037244.274141,1193.901000,0,0
7228004.704071,5377330.384966,-9978168.677379,1253.898000,0,0
7093970.111607,5667214.134699,-9913199.389605,1313.898000,0,0
6955748.061094,5953752.614078,-9842374.206562,1373.897000,0,0
6813419.699805,6236776.304797,-9765734.337147,1433.892000,0,0
6667068.580032,6516117.693330,-9683324.381783,1493.892000,0,0
6516780.613244,6791611.366270,-9595192.308991,1553.889000,0,0
6362644.023005,7063094.104739,-9501389.430240,1613.888000,0,0
6204749.296531,7330404.977667,-9401970.372893,1673.887000,0,0
6043189.135066,7593385.434073,-9296993.051455,1733.886000,0,0
5878058.402982,7851879.394176,-9186518.637015,1793.886000,0,0
5709454.075653,8105733.339334,-9070611.524896,1853.883000,0,0
5537475.186182,8354796.400830,-8949339.300628,1913.882000,0,0
5362222.770872,8598920.447301,-8822772.704051,1973.881000,0,0
5183799.813590,8837960.170942,-8690985.591772,2033.881000,0,0
5002311.188974,9071773.172317,-8554054.897839,2093.880000,0,0
4817863.604504,9300220.043767,-8412060.592690,2153.877000,0,0
4630565.541532,9523164.451447,-8265085.640464,2213.876000,0,0
4440527.195163,9740473.215763,-8113215.954497,2273.875000,0,0
4247860.413147,9952016.390375,-7956540.351236,2333.874000,0,0
4052678.633714,10157667.339558,-7795150.502421,2393.874000,0,0
3855096.822409,10357302.813946,-7629140.885619,2453.871000,0,0
3655231.407987,10550803.024680,-7458608.733175,2513.871000,0,0
