x,y,z,t,firing,detected_by_GS
-11542520.711745,-6763372.784139,-102481.621086,-4.555000,0,0
-11432398.890762,-6942816.342857,-353302.312888,55.441000,0,0
-11315426.336929,-7118099.516896,-603911.139273,115.440000,0,0
-11191675.640998,-7289118.840425,-854157.948613,175.439000,0,0
-11061223.400270,-7455773.477779,-1103892.916886,235.439000,0,0
-10924150.166767,-7617965.279954,-1352966.637004,295.438000,0,0
-10780540.393155,-7775598.839298,-1601230.207608,355.434000,0,0
-10630482.376594,-7928581.542456,-1848535.321302,415.433000,0,0
-10474068.200286,-8076823.621384,-2094734.352263,475.433000,0,0
-10311393.673077,-8220238.202590,-2339680.443178,535.429000,0,0
-10142558.266951,-8358741.354460,-2583227.591460,595.428000,0,0
-9967665.052533,-8492252.132689,-2825230.734694,655.426000,0,0
-9786820.632756,-8620692.623872,-3065545.835281,715.425000,0,0
-9600135.074495,-8743987.987079,-3304029.964192,775.424000,0,0
-9407721.838494,-8862066.493570,-3540541.383848,835.424000,0,0
-9209697.707462,-8974859.564538,-3774939.630031,895.423000,0,0
-9006182.712427,-9082301.806882,-4007085.592798,955.421000,0,0
-8797300.057524,-9184331.047094,-4236841.596397,1015.420000,0,0
-8583176.043020,-9280888.363066,-4464071.478066,1075.420000,0,0
-8363939.986901,-9371918.114012,-4688640.665756,1135.419000,0,0
-8139724.144891,-9457367.968373,-4910416.254687,1195.419000,0,0
-7910663.629018,-9537188.929717,-5129267.082717,1255.415000,0,0
-7676896.324866,-9611335.360751,-5345063.804531,1315.414000,0,0
-7438562.807361,-9679765.005213,-5557678.964518,1375.413000,0,0
-7195806.255372,-9742439.007892,-5766987.068409,1435.411000,0,0
-6948772.365040,-9799321.932605,-5972864.653585,1495.411000,0,0
-6697609.261912,-9850381.778192,-6175190.358020,1555.406000,0,0
-6442467.412040,-9895589.992616,-6373844.987904,1615.405000,0,0
-6183499.531898,-9934921.484965,-6568711.583793,1675.404000,0,0
-5920860.497370,-9968354.635594,-6759675.485383,1735.403000,0,0
-5654707.251754,-9995871.304252,-6946624.394811,1795.402000,0,0
-5385198.712837,-10017456.836255,-7129448.438459,1855.397000,0,0
-5112495.679193,-10033100.066794,-7308040.227318,1915.396000,0,0
-4836760.735587,-10042793.323186,-7482294.915744,1975.395000,0,0
-4558158.157705,-10046532.425304,-7652110.258739,2035.394000,0,0
