x,y,z,t
2492576.213509,-2509916.201459,6126776.929407,-2.776000
2169083.134657,-2823037.329650,6114041.274302,57.223000
1836835.335375,-3124764.883797,6076564.057351,117.222000
1497174.887754,-3413882.737603,6014500.318715,177.221000
1151473.369934,-3689225.796724,5928104.221454,237.220000
801126.361710,-3949684.664719,5817728.024620,297.219000
447547.834800,-4194210.088840,5683820.662312,357.218000
92164.465215,-4421817.163417,5526925.932831,417.217000
-263590.104320,-4631589.273731,5347680.307052,477.215000
-618281.025823,-4822681.767930,5146810.367576,537.215000
-970478.008497,-4994325.347622,4925129.890384,597.213000
-1318761.061772,-5145829.168044,4683536.579645,657.212000
-1661726.199798,-5276583.637281,4423008.465857,717.211000
-1997991.088070,-5386062.902041,4144599.978487,777.209000
-2326200.612328,-5473827.006753,3849437.706659,837.209000
-2645032.349762,-5539523.713526,3538715.864058,897.207000
-2953201.923183,-5582889.972563,3213691.475707,957.206000
-3249468.219460,-5603753.034568,2875679.303888,1017.206000
-3532638.453297,-5602031.197556,2526046.528756,1077.204000
-3801573.055212,-5577734.180022,2166207.197788,1137.204000
-4055190.358710,-5530963.111441,1797616.458861,1197.203000
-4292471.057229,-5461910.131177,1421764.595739,1257.202000
-4512462.398590,-5370857.589481,1040170.891606,1317.202000
-4714282.085307,-5258176.849745,654377.354120,1377.200000
-4897121.853937,-5124326.698643,265942.341543,1437.199000
-5060250.714811,-4969851.378175,-123565.868352,1497.198000
-5203017.842673,-4795378.258613,-512575.527625,1557.197000
-5324855.116030,-4601615.172642,-899517.852967,1617.197000
-5425279.306177,-4389347.428531,-1282833.420393,1677.196000
-5503893.915605,-4159434.516158,-1660978.499251,1737.195000
-5560390.660933,-3912806.515981,-2032431.306076,1797.194000
-5594550.590874,-3650460.220914,-2395698.155573,1857.193000
-5606244.827759,-3373454.984347,-2749319.480788,1917.193000
-5595434.923178,-3082908.313880,-3091875.689764,1977.192000
-5562172.825519,-2779991.237829,-3421992.824852,2037.192000
-5506600.465395,-2465923.475928,-3738347.994236,2097.191000
-5428948.973254,-2141968.446891,-4039674.552526,2157.191000
-5329537.547763,-1809428.142072,-4324767.015677,2217.190000
-5208771.993293,-1469637.888387,-4592485.702538,2277.190000
-5067142.940802,-1123961.017783,-4841761.098230,2337.189000
-4905223.760956,-773783.456989,-5071597.933364,2397.187000
-4723668.174322,-420508.251585,-5281078.969135,2457.186000
-4523207.563004,-65550.041943,-5469368.474175,2517.185000
-4304647.991454,289670.486692,-5635715.377386,2577.184000
-4068866.949996,643732.154219,-5779456.082976,2637.184000
-3816809.840317,995218.809854,-5900016.939287,2697.182000
-3549486.225438,1342724.807808,-5996916.359506,2757.180000
-3267965.866142,1684860.417554,-6069766.597747,2817.179000
-2973374.562005,2020257.157540,-6118275.186044,2877.177000
-2666889.809788,2347573.044814,-6142246.036383,2937.177000
-2349736.287321,2665497.753206,-6141580.207836,2997.175000
-2023181.169027,2972757.669835,-6116276.334596,3057.174000
-1688529.280357,3268120.835289,-6066430.707989,3117.174000
-1347118.101792,3550401.749098,-5992237.005798,3177.171000
-1000312.637020,3818466.020561,-5893985.664850,3237.171000
-649500.162644,4071234.846197,-5772062.896540,3297.169000
-296084.877447,4307689.297932,-5626949.347882,3357.168000
58517.531902,4526874.409102,-5459218.411588,3417.167000
412885.393574,4727903.046674,-5269534.187572,3477.167000
765596.607527,4909959.557125,-5058649.096230,3537.166000
1115234.241635,5072303.170573,-4827401.142493,3597.166000
