a,e,i,t,firing,detected_by_GS
13376143.208904,0.004896,0.872598,6180.000000,0,0
13376275.027203,0.004894,0.872602,6240.000000,0,0
13376404.487951,0.004892,0.872607,6300.000000,0,0
13376531.281586,0.004891,0.872611,6360.000000,0,0
13376655.104304,0.004891,0.872614,6420.000000,0,0
13376775.658614,0.004892,0.872618,6480.000000,0,0
13376892.654154,0.004894,0.872622,6540.000000,0,0
13377005.808356,0.004896,0.872625,6600.000000,0,0
13377114.847072,0.004898,0.872629,6660.000000,0,0
13377219.505408,0.004902,0.872632,6720.000000,0,0
13377319.528198,0.004906,0.872635,6780.000000,0,0
13377414.670737,0.004910,0.872638,6840.000000,0,0
13377504.699350,0.004915,0.872641,6900.000000,0,0
13377589.391920,0.004921,0.872644,6960.000000,0,0
13377668.538616,0.004927,0.872646,7020.000000,0,0
13377741.942249,0.004934,0.872648,7080.000000,0,0
13377809.418888,0.004941,0.872650,7140.000000,0,0
13377870.798304,0.004948,0.872652,7200.000000,0,0
13377925.924365,0.004956,0.872654,7260.000000,0,0
13377974.655629,0.004965,0.872655,7320.000000,0,0
13378016.865558,0.004973,0.872657,7380.000000,0,0
13378052.442984,0.004982,0.872658,7440.000000,0,0
13378081.292407,0.004990,0.872659,7500.000000,0,0
13378103.334229,0.004999,0.872659,7560.000000,0,0
13378118.505185,0.005008,0.872660,7620.000000,0,0
13378126.758390,0.005017,0.872660,7680.000000,0,0
13378128.063635,0.005026,0.872660,7740.000000,0,0
13378122.407502,0.005035,0.872660,7800.000000,0,0
13378109.793416,0.005044,0.872659,7860.000000,0,0
13378090.241890,0.005053,0.872658,7920.000000,0,0
13378063.790375,0.005061,0.872658,7980.000000,0,0
13378030.493355,0.005069,0.872656,8040.000000,0,0
13377990.422260,0.005077,0.872655,8100.000000,0,0
13377943.665306,0.005084,0.872654,8160.000000,0,0
13377890.327528,0.005091,0.872652,8220.000000,0,0
13377830.530409,0.005098,0.872650,8280.000000,0,0
13377764.411755,0.005104,0.872648,8340.000000,0,0
13377692.125385,0.005109,0.872646,8400.000000,0,0
13377613.840742,0.005115,0.872643,8460.000000,0,0
13377529.742703,0.005119,0.872640,8520.000000,0,0
13377440.030977,0.005123,0.872637,8580.000000,0,0
13377344.919757,0.005126,0.872634,8640.000000,0,0
13377244.637184,0.005129,0.872631,8700.000000,0,0
13377139.424738,0.005131,0.872628,8760.000000,0,0
13377029.536832,0.005132,0.872624,8820.000000,0,0
13376915.239998,0.005133,0.872621,8880.000000,0,0
13376796.812334,0.005133,0.872617,8940.000000,0,0
13376674.542774,0.005132,0.872613,9000.000000,0,0
13376548.730286,0.005131,0.872609,9060.000000,0,0
13376419.683290,0.005129,0.872605,9120.000000,0,0
13376287.718677,0.005127,0.872601,9180.000000,0,0
13376153.161096,0.005123,0.872597,9240.000000,0,0
13376016.342083,0.005120,0.872592,9300.000000,0,0
13375877.599123,0.005115,0.872588,9360.000000,0,0
13375737.274954,0.005110,0.872583,9420.000000,0,0
13375595.716479,0.005104,0.872579,9480.000000,0,0
13375453.273970,0.005098,0.872574,9540.000000,0,0
13375310.300106,0.005092,0.872570,9600.000000,0,0
13375167.148996,0.005084,0.872565,9660.000000,0,0
13375024.175424,0.005077,0.872561,9720.000000,0,0
13374881.733737,0.005069,0.872556,9780.000000,0,0
13374740.177032,0.005061,0.872552,9840.000000,0,0
13374599.856201,0.005052,0.872547,9900.000000,0,0
13374461.118964,0.005043,0.872543,9960.000000,0,0
13374324.309148,0.005034,0.872539,10020.000000,0,0
13374189.765618,0.005025,0.872534,10080.000000,0,0
13374057.821527,0.005015,0.872530,10140.000000,0,0
13373928.803430,0.005006,0.872526,10200.000000,0,0
13373803.030396,0.004996,0.872522,10260.000000,0,0
13373680.813398,0.004987,0.872518,10320.000000,0,0
13373562.454338,0.004978,0.872515,10380.000000,0,0
13373448.245419,0.004968,0.872511,10440.000000,0,0
13373338.468391,0.004959,0.872507,10500.000000,0,0
13373233.393797,0.004950,0.872504,10560.000000,0,0
13373133.280499,0.004942,0.872501,10620.000000,0,0
13373038.374867,0.004933,0.872498,10680.000000,0,0
13372948.910301,0.004926,0.872495,10740.000000,0,0
13372865.106635,0.004918,0.872492,10800.000000,0,0
13372787.169555,0.004911,0.872490,10860.000000,0,0
13372715.290298,0.004904,0.872487,10920.000000,0,0
13372649.645007,0.004898,0.872485,10980.000000,0,0
13372590.394430,0.004893,0.872483,11040.000000,0,0
13372537.683511,0.004888,0.872482,11100.000000,0,0
13372491.640979,0.004884,0.872480,11160.000000,0,0
13372452.379232,0.004880,0.872479,11220.000000,0,0
13372419.993877,0.004877,0.872478,11280.000000,0,0
13372394.563615,0.004875,0.872477,11340.000000,0,0
13372376.150015,0.004873,0.872476,11400.000000,0,0
13372364.797298,0.004873,0.872476,11460.000000,0,0
13372360.532407,0.004872,0.872476,11520.000000,0,0
13372363.364742,0.004873,0.872476,11580.000000,0,0
13372373.286240,0.004874,0.872476,11640.000000,0,0
13372390.271346,0.004876,0.872476,11700.000000,0,0
13372414.276999,0.004879,0.872477,11760.000000,0,0
13372445.242902,0.004882,0.872478,11820.000000,0,0
13372483.091466,0.004886,0.872479,11880.000000,0,0
13372527.728095,0.004891,0.872481,11940.000000,0,0
13372579.041368,0.004896,0.872482,12000.000000,0,0
13372636.903237,0.004901,0.872484,12060.000000,0,0
13372701.169509,0.004908,0.872486,12120.000000,0,0
13372771.680005,0.004914,0.872488,12180.000000,0,0
13372848.259061,0.004922,0.872490,12240.000000,0,0
13372930.715918,0.004929,0.872493,12300.000000,0,0
13373018.845136,0.004937,0.872496,12360.000000,0,0
13373112.427284,0.004946,0.872499,12420.000000,0,0
13373211.229303,0.004954,0.872502,12480.000000,0,0
13373315.005208,0.004963,0.872505,12540.000000,0,0
13373423.496676,0.004972,0.872508,12600.000000,0,0
13373536.433646,0.004981,0.872512,12660.000000,0,0
13373653.535189,0.004991,0.872515,12720.000000,0,0
13373774.510046,0.005000,0.872519,12780.000000,0,0
13373899.057489,0.005009,0.872523,12840.000000,0,0
13374026.868065,0.005018,0.872527,12900.000000,0,0
13374157.624333,0.005028,0.872531,12960.000000,0,0
13374291.001872,0.005037,0.872535,13020.000000,0,0
13374426.669924,0.005045,0.872540,13080.000000,0,0
13374564.292375,0.005054,0.872544,13140.000000,0,0
13374703.528579,0.005062,0.872548,13200.000000,0,0
13374844.034183,0.005070,0.872553,13260.000000,0,0
13374985.462193,0.005077,0.872557,13320.000000,0,0
13375127.463682,0.005084,0.872562,13380.000000,0,0
13375269.688796,0.005091,0.872566,13440.000000,0,0
13375411.787618,0.005097,0.872571,13500.000000,0,0
13375553.410999,0.005102,0.872575,13560.000000,0,0
13375694.211628,0.005108,0.872580,13620.000000,0,0
13375833.844722,0.005112,0.872584,13680.000000,0,0
13375971.969018,0.005116,0.872589,13740.000000,0,0
13376108.247588,0.005119,0.872593,13800.000000,0,0
13376242.348624,0.005122,0.872597,13860.000000,0,0
13376373.946449,0.005124,0.872602,13920.000000,0,0
13376502.722131,0.005125,0.872606,13980.000000,0,0
13376628.364383,0.005126,0.872610,14040.000000,0,0
13376750.570291,0.005126,0.872614,14100.000000,0,0
13376869.045986,0.005125,0.872618,14160.000000,0,0
13376983.507530,0.005124,0.872621,14220.000000,0,0
13377093.681412,0.005122,0.872625,14280.000000,0,0
13377199.305291,0.005119,0.872628,14340.000000,0,0
13377300.128570,0.005116,0.872632,14400.000000,0,0
