x,y,z,t,firing
-10047130.996254,423749.412819,8823779.998403,-3.447000,0
-10169009.271196,148608.163402,8694623.793430,56.547000,0
-10284798.619235,-126622.063867,8560257.629478,116.546000,0
-10394431.819893,-401776.493942,8420763.780533,176.545000,0
-10497845.377655,-676690.509908,8276227.530781,236.544000,0
-10594979.554905,-951199.750840,8126737.119822,296.543000,0
-10685778.402547,-1225140.209266,7972383.686241,356.537000,0
-10770189.788402,-1498348.328181,7813261.209709,416.536000,0
-10848165.423149,-1770661.097556,7649466.451411,476.536000,0
-10919660.884053,-2041916.150281,7481098.893095,536.534000,0
-10984635.636318,-2311951.857503,7308260.674620,596.533000,0
-11043053.052087,-2580607.423294,7131056.530094,656.525000,0
-11094880.427225,-2847722.978614,6949593.722722,716.524000,0
-11140088.995618,-3113139.674487,6763981.978223,776.523000,0
-11178653.941270,-3376699.774386,6574333.417067,836.522000,0
-11210554.408013,-3638246.745730,6380762.485428,896.521000,0
-11235773.506896,-3897625.350477,6183385.884955,956.517000,0
-11254298.321356,-4154681.734772,5982322.501457,1016.516000,0
-11266119.909932,-4409263.517556,5777693.332402,1076.515000,0
-11271233.306814,-4661219.878154,5569621.413436,1136.515000,0
-11269637.520031,-4910401.642746,5358231.743863,1196.514000,0
-11261335.527361,-5156661.369694,5143651.211161,1256.506000,0
-11246334.270077,-5399853.433732,4926008.514633,1316.505000,0
-11224644.644281,-5639834.108858,4705434.088115,1376.505000,0
-11196281.490132,-5876461.650024,4482060.021922,1436.504000,0
-11161263.578788,-6109596.373488,4256019.983993,1496.503000,0
-11119613.597124,-6339100.735821,4027449.140297,1556.497000,0
-11071358.130371,-6564839.411573,3796484.074605,1616.495000,0
-11016527.642426,-6786679.369460,3563262.707561,1676.494000,0
-10955156.454132,-7004489.947147,3327924.215206,1736.493000,0
-10887282.719369,-7218142.924512,3090608.946949,1796.492000,0
-10812948.399020,-7427512.595391,2851458.343025,1856.485000,0
-10732199.232949,-7632475.837813,2610614.851541,1916.484000,0
-10645084.709763,-7832912.182568,2368221.845069,1976.483000,0
-10551658.034654,-8028703.880225,2124423.536916,2036.482000,0
-10451976.095161,-8219735.966474,1879364.897066,2096.481000,0
-10346099.424932,-8405896.325773,1633191.567849,2156.473000,0
-10234092.165618,-8587075.753373,1386049.779418,2216.472000,0
-10116022.026676,-8763168.015494,1138086.265008,2276.471000,0
-9991960.243391,-8934069.907850,889448.176097,2336.470000,0
-9861981.532944,-9099681.312332,640282.997463,2396.469000,0
-9726164.048629,-9259905.251894,390738.462201,2456.466000,0
-9584589.332332,-9414647.943685,140962.466755,2516.466000,0
-9437342.265082,-9563818.850212,-108897.014019,2576.465000,0
-9284511.015952,-9707330.728744,-358692.011699,2636.465000,0
-9126186.989175,-9845099.678769,-608274.648996,2696.464000,0
-8962464.769558,-9977045.187550,-857497.224297,2756.458000,0
-8793442.066313,-10103090.173825,-1106212.295972,2816.457000,0
-8619219.655133,-10223161.029463,-1354272.766431,2876.456000,0
-8439901.318771,-10337187.659250,-1601531.965877,2936.456000,0
-8255593.786014,-10445103.518676,-1847843.735712,2996.455000,0
-8066406.669114,-10546845.649707,-2093062.511561,3056.452000,0
-7872452.399811,-10642354.714677,-2337043.405876,3116.451000,0
-7673846.163783,-10731575.028019,-2579642.290064,3176.451000,0
-7470705.833766,-10814454.586106,-2820715.876126,3236.450000,0
-7263151.901258,-10890945.094999,-3060121.797734,3296.449000,0
-7051307.406852,-10961001.996167,-3297718.690739,3356.446000,0
-6835297.869349,-11024584.490237,-3533366.273068,3416.445000,0
-6615251.213481,-11081655.558575,-3766925.423934,3476.445000,0
-6391297.696493,-11132181.982911,-3998258.262383,3536.444000,0
-6163569.833484,-11176134.362850,-4227228.225086,3596.443000,0
