x,y,z,t
-8669.993975,-8669.993975,7074592.618916,-2.654000
-326977.328371,-326977.460385,7059910.400564,57.345000
-643967.085676,-643967.624632,7016706.268278,117.345000
-958362.273602,-958363.490569,6945158.789889,177.344000
-1268896.685033,-1268898.819070,6845560.594830,237.343000
-1574319.959503,-1574323.191138,6718317.162048,297.343000
-1873402.574938,-1873407.005036,6563945.161836,357.342000
-2164940.749339,-2164946.386324,6383070.365579,417.342000
-2447761.237186,-2447767.994167,6176425.140350,477.341000
-2720726.010339,-2720733.711987,5944845.543051,537.341000
-2982736.815471,-2982745.213019,5689268.022913,597.341000
-3232739.598694,-3232748.390437,5410725.734301,657.340000
-3469728.783198,-3469737.637700,5110344.457461,717.340000
-3692751.379477,-3692759.959098,4789338.125580,777.338000
-3900910.902638,-3900918.885798,4449003.962593,837.338000
-4093371.069393,-4093378.170805,4090717.245597,897.337000
-4269359.249384,-4269365.237923,3715925.715359,957.336000
-4428169.650467,-4428174.364327,3326143.664946,1017.336000
-4569166.223280,-4569169.581652,2922945.738461,1077.335000
-4691785.274705,-4691787.284643,2507960.469788,1137.335000
-4795537.781102,-4795538.537968,2082863.587514,1197.334000
-4880011.390750,-4880011.070892,1649371.109706,1257.332000
-4944872.102189,-4944870.947461,1209232.253302,1317.331000
-4989865.603309,-4989863.898560,764222.187636,1377.330000
-5014818.256950,-5014816.303276,316134.668626,1437.330000
-5019637.722931,-5019635.810796,-133225.403422,1497.328000
-5004313.213032,-5004311.599891,-582049.456243,1557.328000
-4968915.382537,-4968914.278986,-1028532.703157,1617.328000
-4913595.867395,-4913595.434239,-1470881.545494,1677.326000
-4838586.478644,-4838586.834946,-1907320.885910,1737.326000
-4744198.065353,-4744199.305103,-2336101.323754,1797.324000
-4630819.055431,-4630821.268615,-2755506.205706,1857.322000
-4498913.681917,-4498916.975016,-3163858.503841,1917.322000
-4349019.902474,-4349024.413956,-3559527.490350,1977.321000
-4181747.022566,-4181752.930621,-3940935.175922,2037.320000
-3997773.036997,-3997780.559152,-4306562.479484,2097.319000
-3797841.709215,-3797851.095751,-4654955.101322,2157.317000
-3582759.410836,-3582770.935603,-4984729.078820,2217.316000
-3353391.744397,-3353405.697052,-5294576.012120,2277.314000
-3110659.970408,-3110676.653322,-5583267.953112,2337.314000
-2855537.256452,-2855556.987708,-5849661.953923,2397.312000
-2589044.763002,-2589067.884706,-6092704.270171,2457.311000
-2312247.579116,-2312274.468250,-6311434.211242,2517.310000
-2026250.521739,-2026281.599728,-6504987.627011,2577.309000
-1732193.814362,-1732229.551581,-6672600.019982,2637.308000
-1431248.662941,-1431289.575670,-6813609.274591,2697.306000
-1124612.747900,-1124659.387211,-6927458.000807,2757.305000
-813505.649879,-813558.584069,-7013695.495144,2817.305000
-499164.223850,-499224.017673,-7071979.326473,2877.303000
-182837.932400,-182905.126984,-7102076.554952,2937.303000
134215.854206,134140.757349,-7103864.589739,2997.301000
450736.584909,450653.133789,-7077331.686168,3057.299000
765465.274562,765373.070434,-7022577.077925,3117.299000
1077149.260886,1077047.957407,-6939810.736377,3177.297000
1384546.959197,1384436.259695,-6829352.748826,3237.296000
1686432.600365,1686312.255968,-6691632.309578,3297.295000
1981600.936853,1981470.747399,-6527186.321167,3357.294000
2268871.902424,2268731.720604,-6336657.605951,3417.294000
2547095.212306,2546944.950009,-6120792.729470,3477.293000
2815154.891156,2814994.525904,-5880439.436312,3537.293000
3071973.715372,3071803.294511,-5616543.697573,3597.293000
