x,y,z,t
-3545966.303433,3528626.315483,5002492.414968,-4.395000
-3856927.155720,3202973.955878,4992077.337540,55.602000
-4152296.044723,2864373.170587,4961428.161726,115.600000
-4430881.309145,2514194.458503,4910672.006502,175.597000
-4691559.219842,2153854.605970,4840017.174567,235.596000
-4933278.464971,1784810.996765,4749752.294019,295.593000
-5155064.350049,1408555.759844,4640245.142017,355.591000
-5356022.694910,1026609.778231,4511941.154397,415.590000
-5535343.411802,640516.583334,4365361.627118,475.588000
-5692303.751144,251836.159116,4201101.616913,535.588000
-5826271.203448,-137861.320001,4019827.549353,595.583000
-5936706.047146,-527001.794262,3822274.543041,655.580000
-6023163.532721,-914013.643960,3609243.458931,715.579000
-6085295.693628,-1297334.012251,3381597.684282,775.576000
-6122852.774714,-1675415.101971,3140259.661610,835.574000
-6135684.269343,-2046730.422071,2886207.174356,895.570000
-6123739.557643,-2409780.958364,2620469.402625,955.566000
-6087068.140151,-2763101.242626,2344122.764049,1015.565000
-6025819.463383,-3105265.294004,2058286.556297,1075.562000
-5940242.336201,-3434892.407127,1764118.418780,1135.562000
-5830683.937838,-3750652.761958,1462809.631706,1195.559000
-5697588.420041,-4051272.831100,1155580.271085,1255.556000
-5541495.107012,-4335540.560622,843674.238802,1315.555000
-5363036.298103,-4602310.300487,528354.187833,1375.552000
-5162934.679967,-4850507.460563,210896.364200,1435.551000
-4942000.357356,-5079132.868549,-107414.610905,1495.550000
-4701127.515176,-5287266.807197,-425290.993482,1555.548000
-4441290.728237,-5474072.710610,-741447.176988,1615.548000
-4163540.938759,-5638800.502855,-1054604.933761,1675.545000
-3869001.124663,-5780789.566449,-1363498.611880,1735.544000
-3558861.682782,-5899471.331672,-1666880.263544,1795.541000
-3234375.550698,-5994371.483513,-1963524.685676,1855.539000
-2896853.092809,-6065111.781162,-2252234.351022,1915.539000
-2547656.763903,-6111411.487630,-2531844.218661,1975.537000
-2188195.579891,-6133088.408700,-2801226.402447,2035.537000
-1819919.407530,-6130059.532502,-3059294.682824,2095.534000
-1444313.097552,-6102341.268362,-3305008.843627,2155.531000
-1062890.485127,-6050049.279676,-3537378.813014,2215.531000
-677188.286283,-5973397.911056,-3755468.588150,2275.528000
-288759.919797,-5872699.214494,-3958399.925971,2335.527000
100830.712983,-5748361.584331,-4145355.783954,2395.524000
490015.460511,-5600888.015657,-4315583.500316,2455.522000
877228.138937,-5430874.003451,-4468397.707390,2515.521000
1260910.713645,-5239005.099964,-4603182.975603,2575.518000
1639519.427166,-5026054.145768,-4719396.187238,2635.513000
2011530.859296,-4792878.186452,-4816568.638760,2695.511000
2375447.906058,-4540415.083477,-4894307.868390,2755.510000
2729805.662608,-4269679.825665,-4952299.202742,2815.507000
3073177.191940,-3981760.547995,-4990307.014013,2875.506000
3404179.157882,-3677814.266883,-5008175.678382,2935.504000
3721477.298465,-3359062.345231,-5005830.227539,2995.501000
4023791.715467,-3026785.704831,-4983276.688221,3055.501000
4309901.957905,-2682319.806933,-4940602.108576,3115.498000
4578651.880853,-2327049.422862,-4877974.273747,3175.498000
4828954.264944,-1962403.215430,-4795641.115324,3235.496000
5059795.184894,-1589848.149152,-4693929.819591,3295.493000
5270238.116314,-1210883.744265,-4573245.638041,3355.493000
5459427.768826,-827036.187650,-4434070.401233,3415.490000
5626593.630431,-439852.314030,-4276960.734919,3475.490000
5771053.204836,-50893.473410,-4102545.976665,3535.486000
5892214.921062,338270.694986,-3911525.792465,3595.485000
