x,y,z,t
4323615.519626,-4340955.507576,3537296.309458,-2.914000
3996298.089719,-4650250.575181,3529919.828792,57.084000
3652798.370188,-4940715.499599,3508211.991184,117.084000
3294509.494781,-5211176.994394,3472263.040980,177.081000
2922883.899210,-5460542.840805,3422220.832010,237.080000
2539427.470973,-5687806.229698,3358290.202167,297.076000
2145693.497475,-5892049.768191,3280732.127570,357.075000
1743276.430030,-6072449.140618,3189862.660242,417.073000
1333805.479412,-6228276.410223,3086051.650490,477.073000
918938.061339,-6358902.943004,2969721.253523,537.072000
500353.116591,-6463801.932040,2841344.220910,597.070000
79744.338620,-6542550.501994,2701441.981362,657.070000
-341186.652625,-6594831.380482,2550582.521002,717.068000
-760737.151417,-6620434.133569,2389378.078286,777.068000
-1177210.188203,-6619255.972951,2218482.670982,837.066000
-1588921.309583,-6591302.148051,2038589.470903,897.065000
-1994205.303330,-6536685.934962,1850428.037048,957.064000
-2391422.860902,-6455628.226261,1654761.411749,1017.062000
-2778967.167928,-6348456.715024,1452383.080121,1077.062000
-3155270.403987,-6215604.657917,1244113.792862,1137.060000
-3518810.120553,-6057609.200282,1030798.256736,1197.058000
-3868115.455215,-5875109.252258,813301.704389,1257.058000
-4201773.135544,-5668842.918106,592506.363442,1317.056000
-4518433.230364,-5439644.493805,369307.849401,1377.056000
-4816814.616219,-5188441.061521,144611.509322,1437.054000
-5095710.144699,-4916248.707820,-80671.264421,1497.052000
-5353991.486145,-4624168.402674,-305626.722856,1557.052000
-5590613.670220,-4313381.547365,-529342.455359,1617.050000
-5804619.294780,-3985145.213485,-750911.070095,1677.049000
-5995142.397551,-3640787.079834,-969433.856287,1737.048000
-6161411.970455,-3281700.075536,-1184024.419000,1797.048000
-6302755.089927,-2909336.748598,-1393812.270230,1857.046000
-6418599.642569,-2525203.383156,-1597946.360339,1917.045000
-6508476.628956,-2130853.896356,-1795598.530978,1977.045000
-6572022.037910,-1727883.547172,-1985966.872549,2037.042000
-6608978.289175,-1317922.487947,-2168278.970882,2097.041000
-6619195.245677,-902629.185743,-2341795.030020,2157.040000
-6602630.796365,-483683.737563,-2505810.859218,2217.040000
-6559351.008961,-62781.102959,-2659660.712642,2277.039000
-6489529.851157,358375.720608,-2802719.970363,2337.039000
-6393448.480272,778082.551212,-2934407.649888,2397.038000
-6271494.104981,1194640.874505,-3054188.739070,2457.038000
-6124158.427056,1606364.664729,-3161576.343498,2517.035000
-5952035.673906,2011587.148261,-3256133.643572,2577.035000
-5755820.233084,2408667.487367,-3337475.657325,2637.033000
-5536303.897921,2795997.364631,-3405270.804487,2697.032000
-5294372.730849,3172007.448583,-3459242.265344,2757.031000
-5031003.549982,3535173.718076,-3499169.126101,2817.029000
-4747260.046422,3884023.618747,-3524887.301745,2877.029000
-4444288.544679,4217142.021767,-3536290.228778,2937.027000
-4123313.424519,4533176.954991,-3533329.323422,2997.026000
-3785632.227369,4830845.080114,-3516014.204853,3057.026000
-3432610.471983,5108936.895122,-3484412.686228,3117.024000
-3065676.202323,5366321.646696,-3438650.537453,3177.024000
-2686314.286832,5601951.940046,-3378911.022640,3237.022000
-2296060.485053,5814868.032807,-3305434.212899,3297.021000
-1896495.297010,6004201.796205,-3218516.072996,3357.020000
-1489237.613681,6169180.322854,-3118507.320045,3417.019000
-1075938.192224,6309129.158997,-3005812.054358,3477.018000
-658272.984864,6423475.141010,-2880886.166282,3537.017000
-237936.353217,6511748.821232,-2744235.526897,3597.017000
