x,y,z,t,firing,detected_by_GS
-2017392.930522,9826022.956677,-8939211.453193,-6.892000,0,0
-2313861.763579,9874144.487065,-8812216.306019,53.106000,0,0
-2608962.122624,9916426.322426,-8680005.662946,113.105000,0,0
-2902519.148314,9952842.192257,-8542656.664608,173.105000,0,0
-3194358.805655,9983369.239516,-8400249.487917,233.104000,0,0
-3484307.983801,10007988.036880,-8252867.303313,293.103000,0,0
-3772194.595545,10026682.601185,-8100596.230310,353.102000,0,0
-4057847.676518,10039440.406115,-7943525.291405,413.102000,0,0
-4341097.483942,10046252.392918,-7781746.364218,473.101000,0,0
-4621775.594995,10047112.979370,-7615354.132048,533.100000,0,0
-4899715.004667,10042020.066811,-7444446.032738,593.098000,0,0
-5174750.223066,10030975.045283,-7269122.205906,653.095000,0,0
-5446717.372184,10013982.796855,-7089485.438625,713.095000,0,0
-5715454.281948,9991051.696899,-6905641.109409,773.094000,0,0
-5980800.585636,9962193.613553,-6717697.130705,833.093000,0,0
-6242597.814511,9927423.905193,-6525763.889786,893.092000,0,0
-6500689.491647,9886761.415938,-6329954.188105,953.090000,0,0
-6754921.224955,9840228.469305,-6130383.179200,1013.089000,0,0
-7005140.799212,9787850.859748,-5927168.305013,1073.088000,0,0
-7251198.267196,9729657.842343,-5720429.230825,1133.088000,0,0
-7492946.039763,9665682.120433,-5510287.778713,1193.087000,0,0
-7730238.974839,9595959.831289,-5296867.859596,1253.085000,0,0
-7962934.465352,9520530.529849,-5080295.403942,1313.084000,0,0
-8190892.525871,9439437.170351,-4860698.291048,1373.084000,0,0
-8413975.878083,9352726.086061,-4638206.277065,1433.083000,0,0
-8632050.034940,9260446.966961,-4412950.921689,1493.082000,0,0
-8844983.383425,9162652.835420,-4185065.513605,1553.080000,0,0
-9052647.266003,9059400.019954,-3954684.994732,1613.080000,0,0
-9254916.060471,8950748.126870,-3721945.883234,1673.079000,0,0
-9451667.258393,8836760.010006,-3486986.195418,1733.078000,0,0
-9642781.541906,8717501.738447,-3249945.366498,1793.078000,0,0
-9828142.858873,8593042.562242,-3010964.170284,1853.075000,0,0
-10007638.496450,8463454.876228,-2770184.637866,1913.074000,0,0
-10181159.152765,8328814.181764,-2527749.975260,1973.073000,0,0
-10348599.006910,8189199.046619,-2283804.480142,2033.073000,0,0
-10509855.787030,8044691.062852,-2038493.457663,2093.072000,0,0
-10664830.836491,7895374.802765,-1791963.135400,2153.069000,0,0
-10813429.178193,7741337.773010,-1544360.577516,2213.069000,0,0
-10955559.576716,7582670.366684,-1295833.598126,2273.068000,0,0
-11091134.598540,7419465.813632,-1046530.673970,2333.067000,0,0
-11220070.670076,7251820.128849,-796600.856414,2393.066000,0,0
-11342288.133539,7079832.059025,-546193.682832,2453.064000,0,0
