x,y,z,t,firing,detected_by_GS
3469288.044678,8342425.332217,-9953695.980674,-6.615000,0,0
3207441.095121,8524477.508698,-9886450.999495,53.382000,0,0
2943700.582378,8701497.091788,-9813365.063486,113.381000,0,0
2678222.002596,8873378.956545,-9734480.654059,173.380000,0,0
2411161.901349,9040020.939132,-9649843.637322,233.380000,0,0
2142677.785982,9201323.896054,-9559503.240093,293.379000,0,0
1872928.037345,9357191.761859,-9463512.024097,353.375000,0,0
1602071.820956,9507531.605386,-9361925.858460,413.374000,0,0
1330268.997598,9652253.684309,-9254803.890284,473.373000,0,0
1057680.033437,9791271.498182,-9142208.513549,533.372000,0,0
784465.909658,9924501.839799,-9024205.336189,593.371000,0,0
510788.031686,10051864.844878,-8900863.145392,653.369000,0,0
236808.138020,10173284.040142,-8772253.871233,713.368000,0,0
-37311.791280,10288686.389539,-8638452.548433,773.367000,0,0
-311409.626409,10398002.338827,-8499537.276477,833.366000,0,0
-585323.179890,10501165.858309,-8355589.177969,893.366000,0,0
-858890.298868,10598114.483762,-8206692.355259,953.363000,0,0
-1131948.957582,10688789.355612,-8052933.845438,1013.362000,0,0
-1404337.349958,10773135.256096,-7894403.573547,1073.361000,0,0
-1675893.982307,10851100.644660,-7731194.304188,1133.361000,0,0
-1946457.766045,10922637.691360,-7563401.591443,1193.360000,0,0
-2215868.110414,10987702.308315,-7391123.727139,1253.357000,0,0
-2483965.015174,11046254.179271,-7214461.687551,1313.356000,0,0
-2750589.163159,11098256.787031,-7033519.078407,1373.356000,0,0
-3015582.012722,11143677.438961,-6848402.078369,1433.355000,0,0
-3278785.889966,11182487.290397,-6659219.380922,1493.354000,0,0
-3540044.080732,11214661.365963,-6466082.134698,1553.352000,0,0
-3799200.922323,11240178.578878,-6269103.882335,1613.351000,0,0
-4056101.894843,11259021.748011,-6068400.497748,1673.350000,0,0
-4310593.712179,11271177.612892,-5864090.121987,1733.350000,0,0
-4562524.412518,11276636.846515,-5656293.097613,1793.349000,0,0
-4811743.448367,11275394.065936,-5445131.901636,1853.346000,0,0
-5058101.776063,11267447.840764,-5230731.077105,1913.345000,0,0
-5301451.944622,11252800.699283,-5013217.163259,1973.345000,0,0
-5541648.183989,11231459.132457,-4792718.624389,2033.343000,0,0
-5778546.492548,11203433.595608,-4569365.777367,2093.342000,0,0
-6012004.723871,11168738.507822,-4343290.717891,2153.338000,0,0
-6241882.672707,11127392.249161,-4114627.245531,2213.337000,0,0
-6468042.160016,11079417.155427,-3883510.787505,2273.337000,0,0
-6690347.117152,11024839.510736,-3650078.321330,2333.336000,0,0
-6908663.669030,10963689.537715,-3414468.296315,2393.335000,0,0
-7122860.216257,10896001.385346,-3176820.553960,2453.332000,0,0
-7332807.516241,10821813.114584,-2937276.247324,2513.331000,0,0
-7538378.763051,10741166.681472,-2695977.759331,2573.330000,0,0
-7739449.666170,10654107.918029,-2453068.620151,2633.330000,0,0
-7935898.527953,10560686.510727,-2208693.423617,2693.329000,0,0
-8127606.319766,10460955.976601,-1962997.742773,2753.326000,0,0
-8314456.756841,10354973.637101,-1716128.044590,2813.325000,0,0
-8496336.371602,10242800.589445,-1468231.603872,2873.324000,0,0
-8673134.585611,10124501.675736,-1219456.416432,2933.323000,0,0
-8844743.779953,10000145.449680,-969951.111569,2993.322000,0,0
-9011059.364017,9869804.140953,-719864.863904,3053.319000,0,0
-9171979.842756,9733553.617325,-469347.304623,3113.319000,0,0
-9327406.882112,9591473.344328,-218548.432179,3173.318000,0,0
-9477245.372834,9443646.342724,32381.477490,3233.317000,0,0
-9621403.492445,9290159.143630,283291.961174,3293.316000,0,0
-9759792.765373,9131101.741341,534032.458979,3353.314000,0,0
-9892328.121285,8966567.543984,784452.405241,3413.313000,0,0
-10018927.951351,8796653.321801,1034401.319692,3473.312000,0,0
-10139514.162649,8621459.153311,1283728.898837,3533.311000,0,0
-10254012.230478,8441088.369221,1532285.107474,3593.311000,0,0
-10362351.248590,8255647.494156,1779920.270296,3653.306000,0,0
-10464463.977417,8065246.186325,2026485.163535,3713.305000,0,0
-10560286.889975,7869997.174944,2271831.106546,3773.304000,0,0
-10649760.215701,7670016.195673,2515810.053316,3833.303000,0,0
-10732827.981988,7465421.923950,2758274.683802,3893.302000,0,0
-10809438.053423,7256335.906298,2999078.495051,3953.299000,0,0
-10879542.168823,7042882.489718,3238075.892058,4013.298000,0,0
-10943095.975758,6825188.749040,3475122.278242,4073.297000,0,0
-11000059.062810,6603384.412440,3710074.145545,4133.296000,0,0
-11050394.989364,6377601.785072,3942789.164046,4193.295000,0,0
-11094071.312924,6147975.670858,4173126.271034,4253.292000,0,0
-11131059.614065,5914643.292577,4400945.759520,4313.291000,0,0
-11161335.518718,5677744.210136,4626109.366036,4373.290000,0,0
-11184878.718051,5437420.237232,4848480.357750,4433.289000,0,0
-11201672.985735,5193815.356363,5067923.618781,4493.288000,0,0
-11211706.192615,4947075.632249,5284305.735652,4553.285000,0,0
-11214970.318902,4697349.123796,5497495.081882,4613.284000,0,0
-11211461.463578,4444785.794506,5707361.901530,4673.283000,0,0
-11201179.851307,4189537.421556,5913778.391776,4733.282000,0,0
-11184129.836637,3931757.503485,6116618.784357,4793.282000,0,0
-11160319.905536,3671601.166596,6315759.425860,4853.278000,0,0
-11129762.674363,3409225.070163,6511078.856846,4913.278000,0,0
-11092474.886008,3144787.310420,6702457.889616,4973.277000,0,0
-11048477.403486,2878447.323486,6889779.684718,5033.276000,0,0
-10997795.200778,2610365.787234,7072929.826022,5093.276000,0,0
-10940457.350979,2340704.522184,7251796.394345,5153.271000,0,0
-10876497.011872,2069626.391516,7426270.039645,5213.269000,0,0
-10805951.408652,1797295.200208,7596244.051543,5273.268000,0,0
-10728861.814117,1523875.593428,7761614.428332,5333.267000,0,0
-10645273.526113,1249532.954224,7922279.944272,5393.266000,0,0
-10555235.842322,974433.300574,8078142.215161,5453.264000,0,0
-10458802.032499,698743.181890,8229105.762223,5513.263000,0,0
-10356029.307918,422629.575028,8375078.074061,5573.262000,0,0
-10246978.788332,146259.779883,8515969.666842,5633.261000,0,0
-10131715.466268,-130198.685351,8651694.142533,5693.261000,0,0
-10010308.168732,-406578.189198,8782168.245164,5753.258000,0,0
-9882829.516461,-682711.092099,8907311.915187,5813.258000,0,0
